timeframe,ticker,market,model_name,config_index,window_id,model_hyperparameters_dict,start_date,end_date,test_data_values_list,test_data_model_predictions_list
co2,NewZealand,NewZealand,NAIVE_LAST_PRICE,-1,0,{},2022-09-14 00:00:00,2022-09-14 00:00:00,[83.0],[84.0]
co2,NewZealand,NewZealand,NAIVE_LAST_PRICE,-1,1,{},2022-09-15 00:00:00,2022-09-15 00:00:00,[83.025],[83.0]
co2,NewZealand,NewZealand,NAIVE_LAST_PRICE,-1,2,{},2022-09-16 00:00:00,2022-09-16 00:00:00,[83.1],[83.025]
co2,NewZealand,NewZealand,NAIVE_LAST_PRICE,-1,3,{},2022-09-19 00:00:00,2022-09-19 00:00:00,[82.75],[83.1]
co2,NewZealand,NewZealand,NAIVE_LAST_PRICE,-1,4,{},2022-09-20 00:00:00,2022-09-20 00:00:00,[82.75],[82.75]
co2,NewZealand,NewZealand,NAIVE_LAST_PRICE,-1,5,{},2022-09-21 00:00:00,2022-09-21 00:00:00,[81.75],[82.75]
co2,NewZealand,NewZealand,NAIVE_LAST_PRICE,-1,6,{},2022-09-22 00:00:00,2022-09-22 00:00:00,[82.0],[81.75]
co2,NewZealand,NewZealand,NAIVE_LAST_PRICE,-1,7,{},2022-09-23 00:00:00,2022-09-23 00:00:00,[81.85],[82.0]
co2,NewZealand,NewZealand,NAIVE_LAST_PRICE,-1,8,{},2022-09-26 00:00:00,2022-09-26 00:00:00,[81.0],[81.85]
co2,NewZealand,NewZealand,NAIVE_LAST_PRICE,-1,9,{},2022-09-27 00:00:00,2022-09-27 00:00:00,[80.0],[81.0]
co2,NewZealand,NewZealand,NAIVE_LAST_PRICE,-1,10,{},2022-09-28 00:00:00,2022-09-28 00:00:00,[79.0],[80.0]
co2,NewZealand,NewZealand,NAIVE_LAST_PRICE,-1,11,{},2022-09-29 00:00:00,2022-09-29 00:00:00,[78.0],[79.0]
co2,NewZealand,NewZealand,NAIVE_LAST_PRICE,-1,12,{},2022-09-30 00:00:00,2022-09-30 00:00:00,[78.0],[78.0]
co2,NewZealand,NewZealand,NAIVE_LAST_PRICE,-1,13,{},2022-10-03 00:00:00,2022-10-03 00:00:00,[78.05],[78.0]
co2,NewZealand,NewZealand,NAIVE_LAST_PRICE,-1,14,{},2022-10-04 00:00:00,2022-10-04 00:00:00,[78.2],[78.05]
co2,NewZealand,NewZealand,NAIVE_LAST_PRICE,-1,15,{},2022-10-05 00:00:00,2022-10-05 00:00:00,[82.5],[78.2]
co2,NewZealand,NewZealand,NAIVE_LAST_PRICE,-1,16,{},2022-10-06 00:00:00,2022-10-06 00:00:00,[82.9],[82.5]
co2,NewZealand,NewZealand,NAIVE_LAST_PRICE,-1,17,{},2022-10-07 00:00:00,2022-10-07 00:00:00,[82.22],[82.9]
co2,NewZealand,NewZealand,NAIVE_LAST_PRICE,-1,18,{},2022-10-10 00:00:00,2022-10-10 00:00:00,[80.75],[82.22]
co2,NewZealand,NewZealand,NAIVE_LAST_PRICE,-1,19,{},2022-10-11 00:00:00,2022-10-11 00:00:00,[80.4],[80.75]
co2,NewZealand,NewZealand,NAIVE_LAST_PRICE,-1,20,{},2022-10-12 00:00:00,2022-10-12 00:00:00,[80.7],[80.4]
co2,NewZealand,NewZealand,NAIVE_LAST_PRICE,-1,21,{},2022-10-13 00:00:00,2022-10-13 00:00:00,[81.0],[80.7]
co2,NewZealand,NewZealand,NAIVE_LAST_PRICE,-1,22,{},2022-10-14 00:00:00,2022-10-14 00:00:00,[81.0],[81.0]
co2,NewZealand,NewZealand,NAIVE_LAST_PRICE,-1,23,{},2022-10-17 00:00:00,2022-10-17 00:00:00,[80.75],[81.0]
co2,NewZealand,NewZealand,NAIVE_LAST_PRICE,-1,24,{},2022-10-18 00:00:00,2022-10-18 00:00:00,[80.67],[80.75]
co2,NewZealand,NewZealand,NAIVE_LAST_PRICE,-1,25,{},2022-10-19 00:00:00,2022-10-19 00:00:00,[80.9],[80.67]
co2,NewZealand,NewZealand,NAIVE_LAST_PRICE,-1,26,{},2022-10-20 00:00:00,2022-10-20 00:00:00,[81.2],[80.9]
co2,NewZealand,NewZealand,NAIVE_LAST_PRICE,-1,27,{},2022-10-21 00:00:00,2022-10-21 00:00:00,[81.2],[81.2]
co2,NewZealand,NewZealand,NAIVE_LAST_PRICE,-1,28,{},2022-10-24 00:00:00,2022-10-24 00:00:00,[81.25],[81.2]
co2,NewZealand,NewZealand,NAIVE_LAST_PRICE,-1,29,{},2022-10-25 00:00:00,2022-10-25 00:00:00,[82.0],[81.25]
co2,NewZealand,NewZealand,NAIVE_LAST_PRICE,-1,30,{},2022-10-26 00:00:00,2022-10-26 00:00:00,[82.5],[82.0]
co2,NewZealand,NewZealand,NAIVE_LAST_PRICE,-1,31,{},2022-10-27 00:00:00,2022-10-27 00:00:00,[84.75],[82.5]
co2,NewZealand,NewZealand,NAIVE_LAST_PRICE,-1,32,{},2022-10-28 00:00:00,2022-10-28 00:00:00,[85.0],[84.75]
co2,NewZealand,NewZealand,NAIVE_LAST_PRICE,-1,33,{},2022-10-31 00:00:00,2022-10-31 00:00:00,[84.6],[85.0]
co2,NewZealand,NewZealand,NAIVE_LAST_PRICE,-1,34,{},2022-11-01 00:00:00,2022-11-01 00:00:00,[84.5],[84.6]
co2,NewZealand,NewZealand,NAIVE_LAST_PRICE,-1,35,{},2022-11-02 00:00:00,2022-11-02 00:00:00,[85.0],[84.5]
co2,NewZealand,NewZealand,NAIVE_LAST_PRICE,-1,36,{},2022-11-03 00:00:00,2022-11-03 00:00:00,[85.0],[85.0]
co2,NewZealand,NewZealand,NAIVE_LAST_PRICE,-1,37,{},2022-11-04 00:00:00,2022-11-04 00:00:00,[86.5],[85.0]
co2,NewZealand,NewZealand,NAIVE_LAST_PRICE,-1,38,{},2022-11-07 00:00:00,2022-11-07 00:00:00,[87.1],[86.5]
co2,NewZealand,NewZealand,NAIVE_LAST_PRICE,-1,39,{},2022-11-08 00:00:00,2022-11-08 00:00:00,[88.2],[87.1]
co2,NewZealand,NewZealand,NAIVE_LAST_PRICE,-1,40,{},2022-11-09 00:00:00,2022-11-09 00:00:00,[88.2],[88.2]
co2,NewZealand,NewZealand,NAIVE_LAST_PRICE,-1,41,{},2022-11-10 00:00:00,2022-11-10 00:00:00,[87.9],[88.2]
co2,NewZealand,NewZealand,NAIVE_LAST_PRICE,-1,42,{},2022-11-11 00:00:00,2022-11-11 00:00:00,[88.5],[87.9]
co2,NewZealand,NewZealand,NAIVE_LAST_PRICE,-1,43,{},2022-11-14 00:00:00,2022-11-14 00:00:00,[88.17],[88.5]
co2,NewZealand,NewZealand,NAIVE_LAST_PRICE,-1,44,{},2022-11-15 00:00:00,2022-11-15 00:00:00,[88.25],[88.17]
co2,NewZealand,NewZealand,NAIVE_LAST_PRICE,-1,45,{},2022-11-16 00:00:00,2022-11-16 00:00:00,[88.4],[88.25]
co2,NewZealand,NewZealand,NAIVE_LAST_PRICE,-1,46,{},2022-11-17 00:00:00,2022-11-17 00:00:00,[88.15],[88.4]
co2,NewZealand,NewZealand,NAIVE_LAST_PRICE,-1,47,{},2022-11-18 00:00:00,2022-11-18 00:00:00,[88.0],[88.15]
co2,NewZealand,NewZealand,NAIVE_LAST_PRICE,-1,48,{},2022-11-21 00:00:00,2022-11-21 00:00:00,[88.0],[88.0]
co2,NewZealand,NewZealand,NAIVE_LAST_PRICE,-1,49,{},2022-11-22 00:00:00,2022-11-22 00:00:00,[87.85],[88.0]
co2,NewZealand,NewZealand,NAIVE_LAST_PRICE,-1,50,{},2022-11-23 00:00:00,2022-11-23 00:00:00,[86.5],[87.85]
co2,NewZealand,NewZealand,NAIVE_LAST_PRICE,-1,51,{},2022-11-24 00:00:00,2022-11-24 00:00:00,[86.2],[86.5]
co2,NewZealand,NewZealand,NAIVE_LAST_PRICE,-1,52,{},2022-11-25 00:00:00,2022-11-25 00:00:00,[86.0],[86.2]
co2,NewZealand,NewZealand,NAIVE_LAST_PRICE,-1,53,{},2022-11-28 00:00:00,2022-11-28 00:00:00,[84.15],[86.0]
co2,NewZealand,NewZealand,NAIVE_LAST_PRICE,-1,54,{},2022-11-29 00:00:00,2022-11-29 00:00:00,[83.5],[84.15]
co2,NewZealand,NewZealand,NAIVE_LAST_PRICE,-1,55,{},2022-11-30 00:00:00,2022-11-30 00:00:00,[82.45],[83.5]
co2,NewZealand,NewZealand,NAIVE_LAST_PRICE,-1,56,{},2022-12-01 00:00:00,2022-12-01 00:00:00,[81.0],[82.45]
co2,NewZealand,NewZealand,NAIVE_LAST_PRICE,-1,57,{},2022-12-02 00:00:00,2022-12-02 00:00:00,[81.0],[81.0]
co2,NewZealand,NewZealand,NAIVE_LAST_PRICE,-1,58,{},2022-12-05 00:00:00,2022-12-05 00:00:00,[82.0],[81.0]
co2,NewZealand,NewZealand,NAIVE_LAST_PRICE,-1,59,{},2022-12-06 00:00:00,2022-12-06 00:00:00,[82.5],[82.0]
co2,NewZealand,NewZealand,NAIVE_LAST_PRICE,-1,60,{},2022-12-07 00:00:00,2022-12-07 00:00:00,[82.5],[82.5]
co2,NewZealand,NewZealand,NAIVE_LAST_PRICE,-1,61,{},2022-12-08 00:00:00,2022-12-08 00:00:00,[83.25],[82.5]
co2,NewZealand,NewZealand,NAIVE_LAST_PRICE,-1,62,{},2022-12-09 00:00:00,2022-12-09 00:00:00,[83.37],[83.25]
co2,NewZealand,NewZealand,NAIVE_LAST_PRICE,-1,63,{},2022-12-12 00:00:00,2022-12-12 00:00:00,[83.0],[83.37]
co2,NewZealand,NewZealand,NAIVE_LAST_PRICE,-1,64,{},2022-12-13 00:00:00,2022-12-13 00:00:00,[83.5],[83.0]
co2,NewZealand,NewZealand,NAIVE_LAST_PRICE,-1,65,{},2022-12-14 00:00:00,2022-12-14 00:00:00,[86.0],[83.5]
co2,NewZealand,NewZealand,NAIVE_LAST_PRICE,-1,66,{},2022-12-15 00:00:00,2022-12-15 00:00:00,[77.5],[86.0]
co2,NewZealand,NewZealand,NAIVE_LAST_PRICE,-1,67,{},2022-12-16 00:00:00,2022-12-16 00:00:00,[77.17],[77.5]
co2,NewZealand,NewZealand,NAIVE_LAST_PRICE,-1,68,{},2022-12-19 00:00:00,2022-12-19 00:00:00,[77.0],[77.17]
co2,NewZealand,NewZealand,NAIVE_LAST_PRICE,-1,69,{},2022-12-20 00:00:00,2022-12-20 00:00:00,[76.5],[77.0]
co2,NewZealand,NewZealand,NAIVE_LAST_PRICE,-1,70,{},2022-12-21 00:00:00,2022-12-21 00:00:00,[76.0],[76.5]
co2,NewZealand,NewZealand,NAIVE_LAST_PRICE,-1,71,{},2022-12-22 00:00:00,2022-12-22 00:00:00,[76.97],[76.0]
co2,NewZealand,NewZealand,NAIVE_LAST_PRICE,-1,72,{},2022-12-23 00:00:00,2022-12-23 00:00:00,[77.21000000000001],[76.97]
co2,NewZealand,NewZealand,NAIVE_LAST_PRICE,-1,73,{},2022-12-26 00:00:00,2022-12-26 00:00:00,[77.29],[77.21000000000001]
co2,NewZealand,NewZealand,NAIVE_LAST_PRICE,-1,74,{},2022-12-27 00:00:00,2022-12-27 00:00:00,[77.37],[77.29]
co2,NewZealand,NewZealand,NAIVE_LAST_PRICE,-1,75,{},2022-12-28 00:00:00,2022-12-28 00:00:00,[77.0],[77.37]
co2,NewZealand,NewZealand,NAIVE_LAST_PRICE,-1,76,{},2022-12-29 00:00:00,2022-12-29 00:00:00,[76.42],[77.0]
co2,NewZealand,NewZealand,NAIVE_LAST_PRICE,-1,77,{},2022-12-30 00:00:00,2022-12-30 00:00:00,[76.42],[76.42]
